id;product_id;product_name;unit_price;old_unit_price;quantity;picture_url;user_login
1;38207;functionalities;37309;10453;86685;intranet;Designer bluetooth
2;63310;user-facing;42851;96829;35814;Gloves connect;Borders disintermediate
3;4780;Buckinghamshire purple Loan;15544;171;26471;magenta Belgium;Drives infrastructures
4;55946;payment Mobility;2353;85069;27954;Borders calculating platforms;Borders Switzerland online
5;33524;override;84782;25027;15689;Sausages;lime Norfolk
6;19398;invoice Account;78322;24917;22640;frictionless;withdrawal Naira Director
7;25992;Total purple;95020;1455;95400;web-readiness online;Pizza
8;94228;solutions Rubber Account;97866;65666;18154;Unbranded;innovative
9;46871;toolset;23490;73583;36732;generate;synthesize National
10;69529;navigating Infrastructure Consultant;49578;28029;36156;hacking Licensed extranet;COM bluetooth
