id;name;description;price;picture_file_name;picture_url;available_stock;restock_threshold;max_stock_threshold;on_reorder;catalog_brand_id;catalog_type_id
1;Incredible;Integration national Chair;52424;Cheese;bandwidth Program Utah;95775;5435;51273;true;1;1
2;Tasty interactive Coordinator;eyeballs;61472;Frozen;red Small;1609;73135;65645;false;2;2
3;Cotton;Corners multi-byte;93666;systems;Rubber;68890;25968;42599;true;3;3
4;incentivize metrics calculate;Bedfordshire 1080p open-source;69345;Avon Avon;payment;59555;93060;83710;true;4;4
5;parsing success;Paradigm seamless;30269;Account Gorgeous;Assistant IB Soap;12004;76205;98509;true;5;5
6;Washington revolutionize;Nebraska Seamless;5402;interactive incubate;e-services synthesize viral;67317;90339;28460;false;6;6
7;cross-platform input;Customer Open-architected;51718;synthesize Berkshire Legacy;Nebraska;15487;77366;54558;true;7;7
8;out-of-the-box SCSI;Alley;15917;Toys;portals;57889;79463;94105;true;8;8
9;Legacy;Sleek EXE;96948;Account;Pine Associate;76282;61130;53251;true;9;9
10;Specialist mesh;enable;20961;Interactions Jordanian;indigo port navigating;11188;76712;46248;true;10;10
